Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000977056,0.0202667,3.68E+10,1.78E+09,80.2503,3.86886,31,512, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000968064,0.0204523,3.72E+10,1.76E+09,80.9957,3.83376,63,512, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000769536,0.0201825,4.68E+10,1.78E+09,101.891,3.885,127,512, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000788032,0.0201628,4.57E+10,1.79E+09,99.4998,3.88879,255,512, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000767424,0.020081,4.69E+10,1.79E+09,102.172,3.90464,511,512, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000788608,0.0200889,4.57E+10,1.79E+09,99.4271,3.9031,1023,512, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0204807,0.0398969,1.76E+09,9.02E+08,3.82844,1.96529,1,640, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00688458,0.0261964,5.23E+09,1.37E+09,11.3891,2.99312,3,640, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00297558,0.022261,1.21E+10,1.62E+09,26.3508,3.52226,7,640, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00146829,0.0208691,2.45E+10,1.73E+09,53.4017,3.75718,15,640, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000826496,0.0201621,4.36E+10,1.79E+09,94.8692,3.88892,31,640, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000811456,0.0201545,4.44E+10,1.79E+09,96.6275,3.8904,63,640, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000808416,0.0201209,4.45E+10,1.79E+09,96.9909,3.89689,127,640, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000820864,0.0201,4.39E+10,1.79E+09,95.5201,3.90095,255,640, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000812352,0.0201219,4.43E+10,1.79E+09,96.521,3.8967,511,640, Complete,,,,,,,,,,,
