Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.8032e-05, 0.000456512, 1.87375e+10, 1.97147e+09, 43.5543, 4.58257, 255, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000139808, 0.000563552, 6.4374e+09, 1.59701e+09, 14.9634, 3.71217, 255, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.0432e-05, 0.00047072, 1.78458e+10, 1.91196e+09, 41.4816, 4.44426, 255, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.3648e-05, 0.000449184, 2.06195e+10, 2.00363e+09, 47.9289, 4.65733, 255, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00013936, 0.00055632, 6.45809e+09, 1.61777e+09, 15.0115, 3.76043, 255, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.3424e-05, 0.000454176, 2.07259e+10, 1.98161e+09, 48.1761, 4.60614, 255, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.6e-05, 0.000443072, 2.5e+10, 2.03127e+09, 58.1111, 4.72158, 255, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000141472, 0.00750627, 6.36168e+09, 1.199e+08, 14.7874, 0.2787, 255, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.3328e-05, 0.000452032, 2.07718e+10, 1.99101e+09, 48.2829, 4.62799, 255, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.6224e-05, 0.000444064, 2.48454e+10, 2.02673e+09, 57.7518, 4.71103, 255, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000147904, 0.000562816, 6.08503e+09, 1.5991e+09, 14.1443, 3.71702, 255, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.0064e-05, 0.000458688, 1.4984e+10, 1.96212e+09, 34.8295, 4.56083, 127, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.3344e-05, 0.000452, 1.68716e+10, 1.99115e+09, 39.2172, 4.62832, 127, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000136288, 0.000762304, 6.60366e+09, 1.18063e+09, 15.3498, 2.74431, 127, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.9648e-05, 0.00046896, 1.50885e+10, 1.91914e+09, 35.0724, 4.46094, 127, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.3088e-05, 0.000453216, 1.6953e+10, 1.98581e+09, 39.4063, 4.6159, 127, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00014064, 0.000558528, 6.39932e+09, 1.61138e+09, 14.8749, 3.74556, 127, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.0512e-05, 0.000459264, 1.48731e+10, 1.95966e+09, 34.5717, 4.55511, 127, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.3728e-05, 0.000484, 1.6751e+10, 1.8595e+09, 38.9369, 4.32231, 127, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000141056, 0.000556832, 6.38044e+09, 1.61629e+09, 14.831, 3.75697, 127, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.0016e-05, 0.000449248, 1.79942e+10, 2.00335e+09, 41.8266, 4.65667, 127, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.688e-05, 0.000671392, 1.9198e+10, 1.3405e+09, 44.6246, 3.11591, 127, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000142336, 0.00057408, 6.32307e+09, 1.56773e+09, 14.6976, 3.64409, 127, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.464e-05, 0.000449056, 2.01613e+10, 2.0042e+09, 46.8638, 4.65866, 127, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.8528e-05, 0.0004416, 2.33596e+10, 2.03804e+09, 54.2982, 4.73732, 127, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000145056, 0.00056032, 6.2045e+09, 1.60622e+09, 14.422, 3.73358, 127, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.6912e-05, 0.000446464, 1.91849e+10, 2.01584e+09, 44.5941, 4.68571, 127, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.0416e-05, 0.000438592, 2.22684e+10, 2.05202e+09, 51.7617, 4.76981, 127, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000144384, 0.000559936, 6.23338e+09, 1.60733e+09, 14.4891, 3.73614, 127, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.3712e-05, 0.000663584, 2.05893e+10, 1.35627e+09, 47.8587, 3.15258, 127, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.7312e-05, 0.0004456, 2.41209e+10, 2.01975e+09, 56.0678, 4.69479, 127, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00015024, 0.000559776, 5.99042e+09, 1.60779e+09, 13.9244, 3.73721, 127, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.2272e-05, 0.000448192, 2.12907e+10, 2.00807e+09, 49.489, 4.66764, 127, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.5936e-05, 0.000434848, 2.50445e+10, 2.06969e+09, 58.2146, 4.81088, 127, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000155488, 0.000561888, 5.78823e+09, 1.60174e+09, 13.4544, 3.72316, 127, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.896e-05, 0.000446976, 1.83824e+10, 2.01353e+09, 42.7288, 4.68034, 63, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.2592e-05, 0.00043424, 2.11307e+10, 2.07259e+09, 49.1172, 4.81761, 63, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000146016, 0.000551488, 6.16371e+09, 1.63195e+09, 14.3272, 3.79337, 63, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.944e-05, 0.00046176, 1.82039e+10, 1.94906e+09, 42.3139, 4.53049, 63, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.3456e-05, 0.00045056, 2.07106e+10, 1.99751e+09, 48.1407, 4.64311, 63, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000143072, 0.000558048, 6.29054e+09, 1.61276e+09, 14.622, 3.74878, 63, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.0432e-05, 0.000455904, 1.78458e+10, 1.9741e+09, 41.4816, 4.58869, 63, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.48e-05, 0.000442944, 2.00893e+10, 2.03186e+09, 46.6964, 4.72294, 63, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000143488, 0.000547296, 6.2723e+09, 1.64445e+09, 14.5796, 3.82243, 63, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.3616e-05, 0.000441312, 2.06346e+10, 2.03937e+09, 47.9641, 4.74041, 63, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.76e-05, 0.000435936, 2.39362e+10, 2.06452e+09, 55.6383, 4.79887, 63, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000143904, 0.000621472, 6.25417e+09, 1.44817e+09, 14.5375, 3.3662, 63, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.4608e-05, 0.000452832, 2.01758e+10, 1.98749e+09, 46.8974, 4.61981, 63, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.8368e-05, 0.000444448, 2.3457e+10, 2.02498e+09, 54.5246, 4.70696, 63, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000149344, 0.000573696, 6.02636e+09, 1.56878e+09, 14.0079, 3.64653, 63, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.0496e-05, 0.000456704, 1.78232e+10, 1.97064e+09, 41.429, 4.58065, 63, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.4864e-05, 0.000451584, 2.00606e+10, 1.99298e+09, 46.6298, 4.63258, 63, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00015152, 0.000566176, 5.93981e+09, 1.58961e+09, 13.8068, 3.69496, 63, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.272e-05, 0.000439808, 2.10674e+10, 2.04635e+09, 48.97, 4.75662, 63, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.648e-05, 0.000462432, 2.46711e+10, 1.94623e+09, 57.3465, 4.52391, 63, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00015584, 0.000573472, 5.77515e+09, 1.56939e+09, 13.424, 3.64796, 63, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.1568e-05, 0.000461376, 1.4618e+10, 1.95069e+09, 33.9787, 4.53426, 63, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.536e-05, 0.000456832, 1.62572e+10, 1.97009e+09, 37.789, 4.57936, 63, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000178336, 0.000593984, 5.04665e+09, 1.51519e+09, 11.7307, 3.52198, 63, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.64e-05, 0.000454176, 1.93966e+10, 1.98161e+09, 45.0862, 4.60614, 31, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.0192e-05, 0.000438368, 2.23925e+10, 2.05307e+09, 52.0502, 4.77225, 31, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000148256, 0.000563008, 6.07058e+09, 1.59856e+09, 14.1107, 3.71576, 31, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.9184e-05, 0.00564928, 1.82986e+10, 1.59312e+08, 42.5342, 0.370313, 31, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.2688e-05, 0.000451136, 2.10832e+10, 1.99496e+09, 49.0067, 4.63718, 31, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00014896, 0.00058944, 6.04189e+09, 1.52687e+09, 14.044, 3.54913, 31, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.2864e-05, 0.000458528, 1.70248e+10, 1.9628e+09, 39.5732, 4.56243, 31, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.6272e-05, 0.000452192, 1.94502e+10, 1.99031e+09, 45.2109, 4.62635, 31, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000148256, 0.00056416, 6.07058e+09, 1.59529e+09, 14.1107, 3.70817, 31, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.128e-05, 0.000451808, 2.18023e+10, 1.992e+09, 50.6783, 4.63029, 31, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.3728e-05, 0.000441376, 2.66841e+10, 2.03908e+09, 62.0256, 4.73972, 31, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 8.5696e-05, 0.000505088, 1.05022e+10, 1.78187e+09, 24.4119, 4.14185, 31, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.8608e-05, 0.000447136, 1.85155e+10, 2.01281e+09, 43.0382, 4.67867, 31, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.7312e-05, 0.000437344, 2.41209e+10, 2.05788e+09, 56.0678, 4.78342, 31, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000159456, 0.00056416, 5.64419e+09, 1.59529e+09, 13.1196, 3.70817, 31, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.9376e-05, 0.000447872, 1.82275e+10, 2.0095e+09, 42.3688, 4.67098, 31, 384, Complete
