Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00014336, 0.000545088, 6.2779e+09, 1.65111e+09, 511, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.2208e-05, 0.000440096, 2.1323e+10, 2.04501e+09, 511, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.4848e-05, 0.000432992, 2.58264e+10, 2.07856e+09, 511, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00014192, 0.000881088, 6.3416e+09, 1.02146e+09, 511, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 8.6432e-05, 0.0004912, 1.04128e+10, 1.83225e+09, 255, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 7.8688e-05, 0.000476608, 1.14376e+10, 1.88834e+09, 255, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000204416, 0.000606336, 4.40279e+09, 1.48433e+09, 255, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 8.3232e-05, 0.000481344, 1.08131e+10, 1.86976e+09, 255, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 7.7152e-05, 0.000474848, 1.16653e+10, 1.89534e+09, 255, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000207264, 0.000611712, 4.34229e+09, 1.47128e+09, 255, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 8.1504e-05, 0.000475808, 1.10424e+10, 1.89152e+09, 255, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 7.488e-05, 0.000505472, 1.20192e+10, 1.78051e+09, 255, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000203776, 0.000615392, 4.41661e+09, 1.46248e+09, 255, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.4352e-05, 0.000466848, 1.39856e+10, 1.92782e+09, 255, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.76e-05, 0.000462752, 1.5625e+10, 1.94489e+09, 255, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000141408, 0.000544928, 6.36456e+09, 1.65159e+09, 255, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.3856e-05, 0.00044832, 1.67112e+10, 2.00749e+09, 255, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.72e-05, 0.000446528, 1.90678e+10, 2.01555e+09, 255, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000137632, 0.000539744, 6.53918e+09, 1.66746e+09, 255, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.088e-05, 0.000453248, 1.76887e+10, 1.98567e+09, 255, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.4032e-05, 0.00044992, 2.04397e+10, 2.00036e+09, 255, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000141888, 0.000551424, 6.34303e+09, 1.63214e+09, 255, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.3168e-05, 0.000446688, 2.08488e+10, 2.01483e+09, 255, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.6096e-05, 0.0004456, 2.49335e+10, 2.01975e+09, 255, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00014336, 0.00054496, 6.2779e+09, 1.6515e+09, 255, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.3072e-05, 0.000440384, 2.08952e+10, 2.04367e+09, 255, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.6512e-05, 0.000432736, 2.46494e+10, 2.07979e+09, 255, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.0001472, 0.000716992, 6.11413e+09, 1.25524e+09, 255, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.0128e-05, 0.0005392, 1.49681e+10, 1.66914e+09, 127, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.3536e-05, 0.000452448, 1.68111e+10, 1.98918e+09, 127, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000138912, 0.000541024, 6.47892e+09, 1.66351e+09, 127, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.9616e-05, 0.000456928, 1.50966e+10, 1.96968e+09, 127, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.3184e-05, 0.000447136, 1.69224e+10, 2.01281e+09, 127, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.0001416, 0.000545888, 6.35593e+09, 1.64869e+09, 127, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.0224e-05, 0.000454656, 1.49442e+10, 1.97952e+09, 127, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.3952e-05, 0.000452576, 1.66815e+10, 1.98862e+09, 127, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00013792, 0.00055552, 6.52552e+09, 1.6201e+09, 127, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.9856e-05, 0.00044832, 1.8052e+10, 2.00749e+09, 127, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.288e-05, 0.000444, 2.09888e+10, 2.02703e+09, 127, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000142752, 0.00054592, 6.30464e+09, 1.64859e+09, 127, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.4928e-05, 0.000440224, 2.00321e+10, 2.04441e+09, 127, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.7664e-05, 0.000435712, 2.38955e+10, 2.06558e+09, 127, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000144352, 0.00054544, 6.23476e+09, 1.65004e+09, 127, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.6976e-05, 0.000444288, 1.91587e+10, 2.02571e+09, 127, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.7264e-05, 0.000481152, 1.9042e+10, 1.87051e+09, 127, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000144704, 0.000556096, 6.21959e+09, 1.61843e+09, 127, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.3872e-05, 0.000439328, 2.05142e+10, 2.04858e+09, 127, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.728e-05, 0.00043632, 2.41416e+10, 2.06271e+09, 127, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000148512, 0.00055008, 6.06012e+09, 1.63613e+09, 127, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.2112e-05, 0.000439104, 2.13716e+10, 2.04963e+09, 127, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.568e-05, 0.00043088, 2.52242e+10, 2.08875e+09, 127, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000156, 0.0005616, 5.76923e+09, 1.60256e+09, 127, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.8864e-05, 0.00045456, 1.84185e+10, 1.97994e+09, 63, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.272e-05, 0.000447904, 2.10674e+10, 2.00936e+09, 63, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00014384, 0.000554592, 6.25695e+09, 1.62281e+09, 63, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.9888e-05, 0.000447584, 1.80404e+10, 2.0108e+09, 63, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.3136e-05, 0.000438944, 2.08642e+10, 2.05038e+09, 63, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000144064, 0.000548256, 6.24722e+09, 1.64157e+09, 63, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.0784e-05, 0.000446176, 1.77221e+10, 2.01714e+09, 63, 768, Complete
