Device Name:         NVS 5400M
Cuda Version:        2.1
Multiprocessors:     2
Clock Rate:          950 mHz
Total Global Memory: 1073 MB
Warp Size:           32
Max Threads/Block:   1024
Max Threads-Dim:     1024 x 1024 x 64
Max Grid Size:       65535 x 65535 x 65535
Size per element:    4 bytes

5000000,4.40077,18.876,32768,64,Striding,Success
5000000,4.12768,18.8552,32768,256,Striding,Success
5000000,18.8752,34.1351,32768,1024,Striding,Success
7000000,1860.11,1882,1,1,Striding,Success
7000000,528.447,548.824,1,4,Striding,Success
7000000,196.151,217.019,1,16,Striding,Success
7000000,70.4944,90.5448,1,64,Striding,Success
7000000,17.864,38.266,1,256,Striding,Success
7000000,5.37802,26.3923,1,1024,Striding,Success
7000000,306.465,327.161,8,1,Striding,Success
7000000,141.848,162.002,8,4,Striding,Success
7000000,35.3177,55.3116,8,16,Striding,Success
7000000,9.0823,29.9861,8,64,Striding,Success
7000000,3.48499,25.1634,8,256,Striding,Success
7000000,3.52288,25.4401,8,1024,Striding,Success
7000000,284.995,304.747,64,1,Striding,Success
7000000,71.0045,91.4146,64,4,Striding,Success
7000000,17.8947,37.714,64,16,Striding,Success
7000000,5.14646,24.3388,64,64,Striding,Success
7000000,3.55693,23.6979,64,256,Striding,Success
7000000,3.51984,24.3796,64,1024,Striding,Success
7000000,284.897,306.715,512,1,Striding,Success
7000000,71.075,91.1056,512,4,Striding,Success
7000000,17.9104,38.9119,512,16,Striding,Success
7000000,5.14314,25.9182,512,64,Striding,Success
7000000,3.37424,25.1145,512,256,Striding,Success
7000000,3.76051,24.2598,512,1024,Striding,Success
7000000,284.762,304.852,4096,1,Striding,Success
7000000,71.4086,92.276,4096,4,Striding,Success
7000000,18.0905,38.3575,4096,16,Striding,Success
7000000,5.19424,26.4234,4096,64,Striding,Success
7000000,3.31498,25.7471,4096,256,Striding,Success
7000000,6.09622,26.2885,4096,1024,Striding,Success
7000000,234.93,254.977,32768,1,Striding,Success
7000000,72.719,93.0903,32768,4,Striding,Success
7000000,18.8133,40.3647,32768,16,Striding,Success
7000000,5.74435,25.9249,32768,64,Striding,Success
7000000,4.63158,24.5774,32768,256,Striding,Success
7000000,19.8913,39.7387,32768,1024,Striding,Success
9000000,2389.48,2415.15,1,1,Striding,Success
9000000,677.613,702.176,1,4,Striding,Success
9000000,250.678,276.559,1,16,Striding,Success
9000000,90.115,117.97,1,64,Striding,Success
9000000,22.9221,48.9436,1,256,Striding,Success
9000000,6.7719,32.3752,1,1024,Striding,Success
9000000,393.169,418.865,8,1,Striding,Success
9000000,180.403,206.34,8,4,Striding,Success
9000000,45.0889,70.1181,8,16,Striding,Success
9000000,11.6299,37.3292,8,64,Striding,Success
9000000,4.48294,32.2696,8,256,Striding,Success
9000000,4.4913,29.1902,8,1024,Striding,Success
9000000,362.11,387.894,64,1,Striding,Success
9000000,90.4109,116.311,64,4,Striding,Success
9000000,22.9285,48.6495,64,16,Striding,Success
9000000,6.59626,32.3485,64,64,Striding,Success
9000000,4.55776,30.2573,64,256,Striding,Success
9000000,4.48925,32.1592,64,1024,Striding,Success
9000000,361.323,388.095,512,1,Striding,Success
9000000,90.3513,115.746,512,4,Striding,Success
9000000,23.0094,48.9443,512,16,Striding,Success
9000000,6.61245,32.2996,512,64,Striding,Success
9000000,4.36611,30.3082,512,256,Striding,Success
9000000,4.74579,30.8441,512,1024,Striding,Success
9000000,360.95,386.142,4096,1,Striding,Success
9000000,91.8381,119.504,4096,4,Striding,Success
