Threshold Used, Number of items, Correct Classifications, Correct Classification Rate, Number of Skin Items, Correct Skin Classifications, Correct Skin Classification Rate, Number of Other Items, Correct Other Classifications, Correct Other Classification Rate, False Acceptance Rate, False Rejection Rate
0.01, 2583552, 1831931, 0.709075, 138574, 135285, 0.976265, 2444978, 1696646, 0.693931, 0.306069, 0.0237346
0.02, 2583552, 2022273, 0.782749, 138574, 133488, 0.963298, 2444978, 1888785, 0.772516, 0.227484, 0.0367024
0.03, 2583552, 2123318, 0.82186, 138574, 131916, 0.951953, 2444978, 1991402, 0.814487, 0.185513, 0.0480465
0.04, 2583552, 2179843, 0.843739, 138574, 130681, 0.943041, 2444978, 2049162, 0.838111, 0.161889, 0.0569587
0.05, 2583552, 2221223, 0.859755, 138574, 129224, 0.932527, 2444978, 2091999, 0.855631, 0.144369, 0.067473
0.06, 2583552, 2244965, 0.868945, 138574, 128271, 0.92565, 2444978, 2116694, 0.865731, 0.134269, 0.0743502
0.07, 2583552, 2278456, 0.881908, 138574, 126890, 0.915684, 2444978, 2151566, 0.879994, 0.120006, 0.084316
0.08, 2583552, 2305308, 0.892302, 138574, 125484, 0.905538, 2444978, 2179824, 0.891552, 0.108448, 0.0944622
0.09, 2583552, 2324262, 0.899638, 138574, 124198, 0.896258, 2444978, 2200064, 0.89983, 0.10017, 0.103742
0.1, 2583552, 2337986, 0.90495, 138574, 122712, 0.885534, 2444978, 2215274, 0.906051, 0.0939493, 0.114466
0.11, 2583552, 2352050, 0.910394, 138574, 121729, 0.87844, 2444978, 2230321, 0.912205, 0.0877951, 0.12156
0.12, 2583552, 2372745, 0.918404, 138574, 120392, 0.868792, 2444978, 2252353, 0.921216, 0.0787839, 0.131208
0.13, 2583552, 2386650, 0.923786, 138574, 119079, 0.859317, 2444978, 2267571, 0.92744, 0.0725598, 0.140683
0.14, 2583552, 2399119, 0.928613, 138574, 118196, 0.852945, 2444978, 2280923, 0.932901, 0.0670988, 0.147055
0.15, 2583552, 2408549, 0.932263, 138574, 116913, 0.843686, 2444978, 2291636, 0.937283, 0.0627171, 0.156314
0.16, 2583552, 2413257, 0.934085, 138574, 115786, 0.835554, 2444978, 2297471, 0.939669, 0.0603306, 0.164446
0.17, 2583552, 2415834, 0.935082, 138574, 114424, 0.825725, 2444978, 2301410, 0.94128, 0.0587195, 0.174275
0.18, 2583552, 2428714, 0.940068, 138574, 112875, 0.814547, 2444978, 2315839, 0.947182, 0.0528181, 0.185453
0.19, 2583552, 2431126, 0.941001, 138574, 112297, 0.810376, 2444978, 2318829, 0.948405, 0.0515951, 0.189624
0.2, 2583552, 2436387, 0.943038, 138574, 111444, 0.80422, 2444978, 2324943, 0.950905, 0.0490945, 0.19578
0.21, 2583552, 2440561, 0.944653, 138574, 109810, 0.792429, 2444978, 2330751, 0.953281, 0.046719, 0.207571
0.22, 2583552, 2445380, 0.946519, 138574, 108443, 0.782564, 2444978, 2336937, 0.955811, 0.0441889, 0.217436
0.23, 2583552, 2449738, 0.948205, 138574, 107201, 0.773601, 2444978, 2342537, 0.958101, 0.0418985, 0.226399
0.24, 2583552, 2449956, 0.94829, 138574, 106549, 0.768896, 2444978, 2343407, 0.958457, 0.0415427, 0.231104
0.25, 2583552, 2451397, 0.948848, 138574, 105617, 0.76217, 2444978, 2345780, 0.959428, 0.0405721, 0.23783
0.26, 2583552, 2457025, 0.951026, 138574, 104192, 0.751887, 2444978, 2352833, 0.962313, 0.0376875, 0.248113
0.27, 2583552, 2458218, 0.951488, 138574, 103173, 0.744534, 2444978, 2355045, 0.963217, 0.0367827, 0.255466
0.28, 2583552, 2460026, 0.952188, 138574, 102021, 0.73622, 2444978, 2358005, 0.964428, 0.0355721, 0.26378
0.29, 2583552, 2462687, 0.953218, 138574, 100994, 0.728809, 2444978, 2361693, 0.965936, 0.0340637, 0.271191
0.3, 2583552, 2464459, 0.953903, 138574, 99297, 0.716563, 2444978, 2365162, 0.967355, 0.0326449, 0.283437
0.31, 2583552, 2465575, 0.954335, 138574, 98001, 0.707211, 2444978, 2367574, 0.968342, 0.0316584, 0.292789
0.32, 2583552, 2468368, 0.955416, 138574, 96956, 0.699669, 2444978, 2371412, 0.969911, 0.0300886, 0.300331
0.33, 2583552, 2467995, 0.955272, 138574, 95632, 0.690115, 2444978, 2372363, 0.9703, 0.0296997, 0.309885
0.34, 2583552, 2468659, 0.955529, 138574, 94533, 0.682184, 2444978, 2374126, 0.971021, 0.0289786, 0.317816
0.35, 2583552, 2468972, 0.95565, 138574, 93326, 0.673474, 2444978, 2375646, 0.971643, 0.0283569, 0.326526
0.36, 2583552, 2469890, 0.956006, 138574, 92570, 0.668019, 2444978, 2377320, 0.972328, 0.0276722, 0.331981
