Threshold Used, Number of items, Correct Classifications, Correct Classification Rate, Number of Skin Items, Correct Skin Classifications, Correct Skin Classification Rate, Number of Other Items, Correct Other Classifications, Correct Other Classification Rate, False Acceptance Rate, False Rejection Rate
0.01, 2583552, 951889, 0.368442, 133449, 130622, 0.978816, 2450103, 821267, 0.335197, 0.664803, 0.0211841
0.02, 2583552, 1030716, 0.398953, 133449, 129817, 0.972784, 2450103, 900899, 0.367698, 0.632302, 0.0272164
0.03, 2583552, 1084622, 0.419818, 133449, 129248, 0.96852, 2450103, 955374, 0.389932, 0.610068, 0.0314802
0.04, 2583552, 1127893, 0.436567, 133449, 128733, 0.964661, 2450103, 999160, 0.407803, 0.592197, 0.0353393
0.05, 2583552, 1166830, 0.451638, 133449, 128296, 0.961386, 2450103, 1038534, 0.423874, 0.576126, 0.038614
0.06, 2583552, 1203561, 0.465855, 133449, 127891, 0.958351, 2450103, 1075670, 0.439031, 0.560969, 0.0416489
0.07, 2583552, 1241776, 0.480647, 133449, 127518, 0.955556, 2450103, 1114258, 0.45478, 0.54522, 0.0444439
0.08, 2583552, 1282711, 0.496491, 133449, 127160, 0.952873, 2450103, 1155551, 0.471634, 0.528366, 0.0471266
0.09, 2583552, 1331746, 0.515471, 133449, 126796, 0.950146, 2450103, 1204950, 0.491796, 0.508204, 0.0498543
0.1, 2583552, 1385129, 0.536134, 133449, 126434, 0.947433, 2450103, 1258695, 0.513731, 0.486269, 0.0525669
0.11, 2583552, 1468534, 0.568417, 133449, 126107, 0.944983, 2450103, 1342427, 0.547906, 0.452094, 0.0550173
0.12, 2583552, 1637347, 0.633758, 133449, 125798, 0.942667, 2450103, 1511549, 0.616933, 0.383067, 0.0573328
0.13, 2583552, 1715981, 0.664194, 133449, 125467, 0.940187, 2450103, 1590514, 0.649162, 0.350838, 0.0598131
0.14, 2583552, 1761782, 0.681922, 133449, 125127, 0.937639, 2450103, 1636655, 0.667994, 0.332006, 0.0623609
