Threshold Used, Number of items, Correct Classifications, Correct Classification Rate, Number of Skin Items, Correct Skin Classifications, Correct Skin Classification Rate, Number of Other Items, Correct Other Classifications, Correct Other Classification Rate, False Acceptance Rate, False Rejection Rate
0.15, 2583552, 1794164, 0.694456, 133449, 124800, 0.935189, 2450103, 1669364, 0.681344, 0.318656, 0.0648113
0.16, 2583552, 1826167, 0.706844, 133449, 124480, 0.932791, 2450103, 1701687, 0.694537, 0.305463, 0.0672092
0.17, 2583552, 1851956, 0.716826, 133449, 124152, 0.930333, 2450103, 1727804, 0.705196, 0.294804, 0.0696671
0.18, 2583552, 1879435, 0.727462, 133449, 123837, 0.927972, 2450103, 1755598, 0.71654, 0.28346, 0.0720275
0.19, 2583552, 1911265, 0.739782, 133449, 123505, 0.925485, 2450103, 1787760, 0.729667, 0.270333, 0.0745154
0.2, 2583552, 1945351, 0.752975, 133449, 123200, 0.923199, 2450103, 1822151, 0.743704, 0.256296, 0.0768009
0.21, 2583552, 1977724, 0.765506, 133449, 122841, 0.920509, 2450103, 1854883, 0.757063, 0.242937, 0.079491
0.22, 2583552, 2010555, 0.778213, 133449, 122508, 0.918014, 2450103, 1888047, 0.770599, 0.229401, 0.0819864
0.23, 2583552, 2037437, 0.788619, 133449, 122191, 0.915638, 2450103, 1915246, 0.7817, 0.2183, 0.0843618
0.24, 2583552, 2063937, 0.798876, 133449, 121855, 0.91312, 2450103, 1942082, 0.792653, 0.207347, 0.0868796
0.25, 2583552, 2087646, 0.808053, 133449, 121508, 0.91052, 2450103, 1966138, 0.802472, 0.197528, 0.0894799
0.26, 2583552, 2111146, 0.817149, 133449, 121097, 0.90744, 2450103, 1990049, 0.812231, 0.187769, 0.0925597
0.27, 2583552, 2133840, 0.825933, 133449, 120673, 0.904263, 2450103, 2013167, 0.821666, 0.178334, 0.0957369
0.28, 2583552, 2155748, 0.834412, 133449, 120248, 0.901078, 2450103, 2035500, 0.830781, 0.169219, 0.0989217
0.29, 2583552, 2176430, 0.842418, 133449, 119766, 0.897466, 2450103, 2056664, 0.839419, 0.160581, 0.102534
0.3, 2583552, 2196490, 0.850182, 133449, 119268, 0.893735, 2450103, 2077222, 0.84781, 0.15219, 0.106265
0.31, 2583552, 2215082, 0.857379, 133449, 118763, 0.88995, 2450103, 2096319, 0.855604, 0.144396, 0.11005
0.32, 2583552, 2232587, 0.864154, 133449, 118197, 0.885709, 2450103, 2114390, 0.86298, 0.13702, 0.114291
0.33, 2583552, 2249281, 0.870616, 133449, 117614, 0.88134, 2450103, 2131667, 0.870032, 0.129968, 0.11866
0.34, 2583552, 2263876, 0.876265, 133449, 117008, 0.876799, 2450103, 2146868, 0.876236, 0.123764, 0.123201
0.35, 2583552, 2277897, 0.881692, 133449, 116424, 0.872423, 2450103, 2161473, 0.882197, 0.117803, 0.127577
0.36, 2583552, 2289939, 0.886353, 133449, 115810, 0.867822, 2450103, 2174129, 0.887362, 0.112638, 0.132178
0.37, 2583552, 2301808, 0.890947, 133449, 115155, 0.862914, 2450103, 2186653, 0.892474, 0.107526, 0.137086
0.38, 2583552, 2312001, 0.894892, 133449, 114445, 0.857594, 2450103, 2197556, 0.896924, 0.103076, 0.142406
0.39, 2583552, 2321236, 0.898467, 133449, 113665, 0.851749, 2450103, 2207571, 0.901012, 0.0989885, 0.148251
0.4, 2583552, 2330282, 0.901968, 133449, 112861, 0.845724, 2450103, 2217421, 0.905032, 0.0949683, 0.154276
0.41, 2583552, 2339346, 0.905477, 133449, 112025, 0.839459, 2450103, 2227321, 0.909072, 0.0909276, 0.160541
0.42, 2583552, 2346488, 0.908241, 133449, 111164, 0.833007, 2450103, 2235324, 0.912339, 0.0876612, 0.166993
0.43, 2583552, 2353010, 0.910765, 133449, 110346, 0.826878, 2450103, 2242664, 0.915335, 0.0846654, 0.173122
0.44, 2583552, 2359767, 0.913381, 133449, 109501, 0.820546, 2450103, 2250266, 0.918437, 0.0815627, 0.179454
0.45, 2583552, 2366232, 0.915883, 133449, 108518, 0.81318, 2450103, 2257714, 0.921477, 0.0785228, 0.18682
0.46, 2583552, 2371979, 0.918108, 133449, 107528, 0.805761, 2450103, 2264451, 0.924227, 0.0757731, 0.194239
0.47, 2583552, 2376797, 0.919973, 133449, 106363, 0.797031, 2450103, 2270434, 0.926669, 0.0733312, 0.202969
0.48, 2583552, 2382411, 0.922146, 133449, 105230, 0.788541, 2450103, 2277181, 0.929423, 0.0705774, 0.211459
0.49, 2583552, 2388452, 0.924484, 133449, 104066, 0.779819, 2450103, 2284386, 0.932363, 0.0676367, 0.220181
0.5, 2583552, 2393705, 0.926517, 133449, 102917, 0.771208, 2450103, 2290788, 0.934976, 0.0650238, 0.228792
0.51, 2583552, 2398938, 0.928543, 133449, 101682, 0.761954, 2450103, 2297256, 0.937616, 0.0623839, 0.238046
0.52, 2583552, 2403287, 0.930226, 133449, 100420, 0.752497, 2450103, 2302867, 0.939906, 0.0600938, 0.247503
0.53, 2583552, 2407715, 0.93194, 133449, 99166, 0.7431, 2450103, 2308549, 0.942225, 0.0577747, 0.2569
0.54, 2583552, 2411852, 0.933541, 133449, 97858, 0.733299, 2450103, 2313994, 0.944448, 0.0555524, 0.266701
0.55, 2583552, 2415053, 0.93478, 133449, 96628, 0.724082, 2450103, 2318425, 0.946256, 0.0537439, 0.275918
0.56, 2583552, 2418310, 0.936041, 133449, 95300, 0.71413, 2450103, 2323010, 0.948127, 0.0518725, 0.28587
0.57, 2583552, 2421178, 0.937151, 133449, 93921, 0.703797, 2450103, 2327257, 0.949861, 0.0501391, 0.296203
0.58, 2583552, 2423999, 0.938243, 133449, 92374, 0.692205, 2450103, 2331625, 0.951644, 0.0483563, 0.307795
0.59, 2583552, 2426464, 0.939197, 133449, 90861, 0.680867, 2450103, 2335603, 0.953267, 0.0467327, 0.319133
0.6, 2583552, 2428836, 0.940115, 133449, 89312, 0.669259, 2450103, 2339524, 0.954868, 0.0451324, 0.330741
0.61, 2583552, 2431426, 0.941118, 133449, 87672, 0.65697, 2450103, 2343754, 0.956594, 0.0434059, 0.34303
0.62, 2583552, 2433606, 0.941961, 133449, 85926, 0.643886, 2450103, 2347680, 0.958196, 0.0418035, 0.356114
0.63, 2583552, 2435547, 0.942713, 133449, 84091, 0.630136, 2450103, 2351456, 0.959738, 0.0402624, 0.369864
0.64, 2583552, 2437249, 0.943371, 133449, 82179, 0.615808, 2450103, 2355070, 0.961213, 0.0387873, 0.384192
0.65, 2583552, 2439239, 0.944142, 133449, 80203, 0.601001, 2450103, 2359036, 0.962831, 0.0371686, 0.398999
0.66, 2583552, 2440925, 0.944794, 133449, 78192, 0.585932, 2450103, 2362733, 0.96434, 0.0356597, 0.414068
0.67, 2583552, 2441628, 0.945066, 133449, 76116, 0.570375, 2450103, 2365512, 0.965475, 0.0345255, 0.429625
0.68, 2583552, 2442844, 0.945537, 133449, 73998, 0.554504, 2450103, 2368846, 0.966835, 0.0331647, 0.445496
0.69, 2583552, 2443741, 0.945884, 133449, 71761, 0.537741, 2450103, 2371980, 0.968114, 0.0318856, 0.462259
0.7, 2583552, 2444431, 0.946151, 133449, 69323, 0.519472, 2450103, 2375108, 0.969391, 0.0306089, 0.480528
0.71, 2583552, 2445132, 0.946423, 133449, 67042, 0.502379, 2450103, 2378090, 0.970608, 0.0293918, 0.497621
0.72, 2583552, 2445791, 0.946678, 133449, 64543, 0.483653, 2450103, 2381248, 0.971897, 0.0281029, 0.516347
0.73, 2583552, 2446930, 0.947119, 133449, 62376, 0.467415, 2450103, 2384554, 0.973246, 0.0267536, 0.532585
0.74, 2583552, 2447538, 0.947354, 133449, 59962, 0.449325, 2450103, 2387576, 0.97448, 0.0255202, 0.550675
0.75, 2583552, 2447832, 0.947468, 133449, 57648, 0.431985, 2450103, 2390184, 0.975544, 0.0244557, 0.568015
0.76, 2583552, 2448126, 0.947581, 133449, 55301, 0.414398, 2450103, 2392825, 0.976622, 0.0233778, 0.585602
0.77, 2583552, 2448917, 0.947888, 133449, 52936, 0.396676, 2450103, 2395981, 0.97791, 0.0220897, 0.603324
0.78, 2583552, 2450069, 0.948334, 133449, 50448, 0.378032, 2450103, 2399621, 0.979396, 0.020604, 0.621968
0.79, 2583552, 2450190, 0.94838, 133449, 48305, 0.361973, 2450103, 2401885, 0.98032, 0.01968, 0.638027
0.8, 2583552, 2450242, 0.9484, 133449, 46099, 0.345443, 2450103, 2404143, 0.981242, 0.0187584, 0.654557
0.81, 2583552, 2450398, 0.948461, 133449, 43902, 0.32898, 2450103, 2406496, 0.982202, 0.017798, 0.67102
0.82, 2583552, 2450223, 0.948393, 133449, 41491, 0.310913, 2450103, 2408732, 0.983115, 0.0168854, 0.689087
0.83, 2583552, 2450387, 0.948457, 133449, 39132, 0.293236, 2450103, 2411255, 0.984144, 0.0158557, 0.706764
0.84, 2583552, 2450504, 0.948502, 133449, 36887, 0.276413, 2450103, 2413617, 0.985108, 0.0148916, 0.723587
0.85, 2583552, 2450714, 0.948583, 133449, 34616, 0.259395, 2450103, 2416098, 0.986121, 0.013879, 0.740605
0.86, 2583552, 2450963, 0.94868, 133449, 32335, 0.242302, 2450103, 2418628, 0.987154, 0.0128464, 0.757698
0.87, 2583552, 2450712, 0.948582, 133449, 29640, 0.222107, 2450103, 2421072, 0.988151, 0.0118489, 0.777893
0.88, 2583552, 2450849, 0.948635, 133449, 27163, 0.203546, 2450103, 2423686, 0.989218, 0.010782, 0.796454
0.89, 2583552, 2450835, 0.94863, 133449, 24821, 0.185996, 2450103, 2426014, 0.990168, 0.00983183, 0.814004
0.9, 2583552, 2450591, 0.948536, 133449, 22604, 0.169383, 2450103, 2427987, 0.990973, 0.00902656, 0.830617
0.91, 2583552, 2450689, 0.948574, 133449, 20265, 0.151856, 2450103, 2430424, 0.991968, 0.00803191, 0.848144
0.92, 2583552, 2449960, 0.948291, 133449, 17524, 0.131316, 2450103, 2432436, 0.992789, 0.00721072, 0.868684
0.93, 2583552, 2449638, 0.948167, 133449, 15205, 0.113939, 2450103, 2434433, 0.993604, 0.00639565, 0.886061
0.94, 2583552, 2449746, 0.948209, 133449, 12938, 0.0969509, 2450103, 2436808, 0.994574, 0.0054263, 0.903049
0.95, 2583552, 2449409, 0.948078, 133449, 10723, 0.0803528, 2450103, 2438686, 0.99534, 0.0046598, 0.919647
0.96, 2583552, 2449489, 0.948109, 133449, 8691, 0.065126, 2450103, 2440798, 0.996202, 0.0037978, 0.934874
0.97, 2583552, 2449566, 0.948139, 133449, 6447, 0.0483106, 2450103, 2443119, 0.99715, 0.00285049, 0.951689
0.98, 2583552, 2449769, 0.948217, 133449, 4328, 0.0324319, 2450103, 2445441, 0.998097, 0.00190278, 0.967568
0.99, 2583552, 2449811, 0.948234, 133449, 2003, 0.0150095, 2450103, 2447808, 0.999063, 0.000936695, 0.984991
