"Device","Vector.Size","Blocks","Threads","Compute.Time..s.","Total..Compute...Xfer..Time..s.","Compute.Throughput..int.s.","Total..Compute...Xfer..Throughput..int.s.","Speedup"
"62","NVS 5400M",14000000,1023,8,0.0630025,0.0780141,0.0630025,0.0780141,0.730129756755684
"63","NVS 5400M",14000000,1023,4,0.124712,0.138357,0.124712,0.138357,0.368849830008339
"64","NVS 5400M",14000000,511,1024,0.00958429,0.0248309,0.00958429,0.0248309,4.79952088261102
"65","NVS 5400M",14000000,511,512,0.00576749,0.0198419,0.00576749,0.0198419,7.9757398799131
"66","NVS 5400M",14000000,511,256,0.004576,0.0197548,0.004576,0.0197548,10.0524475524476
"67","NVS 5400M",14000000,511,128,0.00455862,0.0178963,0.00455862,0.0178963,10.0907730848371
"68","NVS 5400M",14000000,511,64,0.00819734,0.0219434,0.00819734,0.0219434,5.61157643821044
"69","NVS 5400M",14000000,511,32,0.0159749,0.0300423,0.0159749,0.0300423,2.87951724267445
"70","NVS 5400M",14000000,511,16,0.0315605,0.0452571,0.0315605,0.0452571,1.45751810015684
"71","NVS 5400M",14000000,511,8,0.0627885,0.078102,0.0627885,0.078102,0.732618234230791
"72","NVS 5400M",14000000,511,4,0.124547,0.139567,0.124547,0.139567,0.369338482661164
"73","NVS 5400M",14000000,255,1024,0.006856,0.0222258,0.006856,0.0222258,6.70945157526254
"74","NVS 5400M",14000000,255,512,0.00466678,0.0180537,0.00466678,0.0180537,9.85690347520132
"75","NVS 5400M",14000000,255,256,0.00408451,0.0195745,0.00408451,0.0195745,11.2620608102318
"76","NVS 5400M",14000000,255,128,0.00440614,0.0184701,0.00440614,0.0184701,10.4399769412683
"77","NVS 5400M",14000000,255,64,0.00800323,0.0210982,0.00800323,0.0210982,5.74767937445256
"78","NVS 5400M",14000000,255,32,0.0157628,0.0309438,0.0157628,0.0309438,2.9182632527216
"79","NVS 5400M",14000000,255,16,0.0314398,0.0457052,0.0314398,0.0457052,1.46311363303838
"80","NVS 5400M",14000000,255,8,0.0627018,0.0780181,0.0627018,0.0780181,0.73363125141543
"81","NVS 5400M",14000000,255,4,0.124626,0.139919,0.124626,0.139919,0.369104360245856
"82","NVS 5400M",14000000,127,1024,0.00550986,0.0207109,0.00550986,0.0207109,8.34866947617544
"83","NVS 5400M",14000000,127,512,0.00412659,0.017741,0.00412659,0.017741,11.1472184055116
"84","NVS 5400M",14000000,127,256,0.00387277,0.0174771,0.00387277,0.0174771,11.8778032261146
"85","NVS 5400M",14000000,127,128,0.00431795,0.0195907,0.00431795,0.0195907,10.6532034877662
"86","NVS 5400M",14000000,127,64,0.00796358,0.0231208,0.00796358,0.0231208,5.77629659022701
"87","NVS 5400M",14000000,127,32,0.0157129,0.0309883,0.0157129,0.0309883,2.92753088226871
"88","NVS 5400M",14000000,127,16,0.0314787,0.0467011,0.0314787,0.0467011,1.46130558123429
"89","NVS 5400M",14000000,127,8,0.0628187,0.077899,0.0628187,0.077899,0.732266029064594
"90","NVS 5400M",14000000,127,4,0.125064,0.138757,0.125064,0.138757,0.367811680419625
"91","NVS 5400M",14000000,63,1024,0.00483952,0.0183721,0.00483952,0.0183721,9.50507488345952
"92","NVS 5400M",14000000,63,512,0.00390976,0.0191047,0.00390976,0.0191047,11.7654280569651
"93","NVS 5400M",14000000,63,256,0.0039183,0.0191017,0.0039183,0.0191017,11.7397851108899
"94","NVS 5400M",14000000,63,128,0.00429978,0.0173946,0.00429978,0.0173946,10.6982217694859
"95","NVS 5400M",14000000,63,64,0.00796128,0.0231575,0.00796128,0.0231575,5.77796535230516
"96","NVS 5400M",14000000,63,32,0.0158296,0.0311112,0.0158296,0.0311112,2.90594834992672
"97","NVS 5400M",14000000,63,16,0.0317058,0.0471128,0.0317058,0.0471128,1.45083864781838
"98","NVS 5400M",14000000,63,8,0.063411,0.078442,0.063411,0.078442,0.725426187885383
"99","NVS 5400M",14000000,63,4,0.126026,0.140426,0.126026,0.140426,0.365004046783997
"100","NVS 5400M",14000000,31,1024,0.00459952,0.018697,0.00459952,0.018697,10.0010435871569
"101","NVS 5400M",14000000,31,512,0.00397338,0.0191384,0.00397338,0.0191384,11.5770452360459
"102","NVS 5400M",14000000,31,256,0.00388883,0.0192133,0.00388883,0.0192133,11.8287505496512
"103","NVS 5400M",14000000,31,128,0.00434659,0.0196352,0.00434659,0.0196352,10.5830087493875
"104","NVS 5400M",14000000,31,64,0.00806928,0.0233012,0.00806928,0.0233012,5.70063252235639
"105","NVS 5400M",14000000,31,32,0.0160133,0.0306941,0.0160133,0.0306941,2.87261214115766
"106","NVS 5400M",14000000,31,16,0.0321895,0.0474367,0.0321895,0.0474367,1.42903741903416
"107","NVS 5400M",14000000,31,8,0.0644327,0.0797549,0.0644327,0.0797549,0.713923209798751
"108","NVS 5400M",14000000,31,4,0.127987,0.143236,0.127987,0.143236,0.359411502730746
"109","NVS 5400M",14000000,15,1024,0.00454973,0.0197316,0.00454973,0.0197316,10.1104900730373
"110","NVS 5400M",14000000,15,512,0.00398765,0.0173159,0.00398765,0.0173159,11.535616215064
"111","NVS 5400M",14000000,15,256,0.00488624,0.0200879,0.00488624,0.0200879,9.4141916893153
"112","NVS 5400M",14000000,15,128,0.00446141,0.0177963,0.00446141,0.0177963,10.3106417029594
"113","NVS 5400M",14000000,15,64,0.00831037,0.0218089,0.00831037,0.0218089,5.53525294300976
"114","NVS 5400M",14000000,15,32,0.0165544,0.031423,0.0165544,0.031423,2.77871744068042
"115","NVS 5400M",14000000,15,16,0.0315087,0.0466393,0.0315087,0.0466393,1.45991424590669
"116","NVS 5400M",14000000,15,8,0.0620597,0.0773567,0.0620597,0.0773567,0.741221759048142
"117","NVS 5400M",14000000,15,4,0.124081,0.138635,0.124081,0.138635,0.370725574423159
"118","NVS 5400M",14000000,7,1024,0.00477418,0.0198649,0.00477418,0.0198649,9.63516247816379
"119","NVS 5400M",14000000,7,512,0.00520544,0.0185186,0.00520544,0.0185186,8.83690907973197
"120","NVS 5400M",14000000,7,256,0.0047688,0.0200091,0.0047688,0.0200091,9.64603254487502
"121","NVS 5400M",14000000,7,128,0.00888483,0.0230683,0.00888483,0.0230683,5.1773641138885
"122","NVS 5400M",14000000,7,64,0.0177051,0.032947,0.0177051,0.032947,2.59812144523329
"123","NVS 5400M",14000000,7,32,0.0354909,0.0506948,0.0354909,0.0506948,1.29610688937164
"124","NVS 5400M",14000000,7,16,0.0633499,0.0787792,0.0633499,0.0787792,0.726125850238122
"125","NVS 5400M",14000000,7,8,0.123906,0.138216,0.123906,0.138216,0.371249172759995
"126","NVS 5400M",14000000,7,4,0.246798,0.262026,0.246798,0.262026,0.186387247870728
"127","NVS 5400M",14000000,3,1024,0.00548154,0.0185834,0.00548154,0.0185834,8.39180230373216
"128","NVS 5400M",14000000,3,512,0.00547712,0.0207067,0.00547712,0.0207067,8.3985744332788
"129","NVS 5400M",14000000,3,256,0.0103465,0.0237024,0.0103465,0.0237024,4.44594790508868
"130","NVS 5400M",14000000,3,128,0.0206657,0.0353701,0.0206657,0.0353701,2.22591056678458
"131","NVS 5400M",14000000,3,64,0.0415794,0.05472,0.0415794,0.05472,1.1063170704724
"132","NVS 5400M",14000000,3,32,0.0831117,0.09678,0.0831117,0.09678,0.553472014168884
"133","NVS 5400M",14000000,3,16,0.131589,0.146819,0.131589,0.146819,0.349573292600445
"134","NVS 5400M",14000000,3,8,0.248384,0.261521,0.248384,0.261521,0.185197114145839
"135","NVS 5400M",14000000,3,4,0.361637,0.376003,0.361637,0.376003,0.127199373957864
"136","NVS 5400M",14000000,1,1024,0.00806771,0.0211693,0.00806771,0.0211693,5.70174188214499
"137","NVS 5400M",14000000,1,512,0.0154935,0.0307432,0.0154935,0.0307432,2.9689869945461
"138","NVS 5400M",14000000,1,256,0.031148,0.0465237,0.031148,0.0465237,1.47682034159497
"139","NVS 5400M",14000000,1,128,0.0621107,0.0766538,0.0621107,0.0766538,0.740613131070814
"140","NVS 5400M",14000000,1,64,0.124464,0.139775,0.124464,0.139775,0.369584779534645
"141","NVS 5400M",14000000,1,32,0.248211,0.263458,0.248211,0.263458,0.185326194246025
"142","NVS 5400M",14000000,1,16,0.35786,0.373068,0.35786,0.373068,0.128541887889119
"143","NVS 5400M",14000000,1,8,0.576095,0.589706,0.576095,0.589706,0.079847941745719
"144","NVS 5400M",14000000,1,4,1.01045,1.02569,1.01045,1.02569,0.0455242713642436
"145","Windows with i5",14000000,1,1,0.046,0.046,0.046,0.046,1
