Device Type, Vector Size, Compute Time (s), Data Transfer Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
NVS 5400M, 18900000, 0.0878232, 0.0628675, 0.150691, 2.15205e+008, 1.25423e+008, 4095, 8, Complete
NVS 5400M, 18900000, 0.170843, 0.059118, 0.229961, 1.10628e+008, 8.2188e+007, 4095, 4, Complete
NVS 5400M, 18900000, 0.0383305, 0.0636353, 0.101966, 4.9308e+008, 1.85356e+008, 2047, 1024, Complete
NVS 5400M, 18900000, 0.0180874, 0.0647032, 0.0827906, 1.04492e+009, 2.28287e+008, 2047, 512, Complete
NVS 5400M, 18900000, 0.0109788, 0.0617645, 0.0727433, 1.7215e+009, 2.59818e+008, 2047, 256, Complete
NVS 5400M, 18900000, 0.00804963, 0.061741, 0.0697906, 2.34793e+009, 2.7081e+008, 2047, 128, Complete
NVS 5400M, 18900000, 0.012191, 0.0621653, 0.0743564, 1.55032e+009, 2.54181e+008, 2047, 64, Complete
NVS 5400M, 18900000, 0.0227565, 0.0606543, 0.0834108, 8.3053e+008, 2.26589e+008, 2047, 32, Complete
NVS 5400M, 18900000, 0.0440019, 0.0629017, 0.106904, 4.29527e+008, 1.76795e+008, 2047, 16, Complete
NVS 5400M, 18900000, 0.085896, 0.0618482, 0.147744, 2.20034e+008, 1.27924e+008, 2047, 8, Complete
NVS 5400M, 18900000, 0.169204, 0.0617655, 0.230969, 1.117e+008, 8.18292e+007, 2047, 4, Complete
NVS 5400M, 18900000, 0.0164596, 0.0621936, 0.0786532, 1.14826e+009, 2.40295e+008, 1023, 1024, Complete
NVS 5400M, 18900000, 0.00922534, 0.0618623, 0.0710877, 2.0487e+009, 2.65869e+008, 1023, 512, Complete
NVS 5400M, 18900000, 0.00684589, 0.0620449, 0.0688908, 2.76078e+009, 2.74347e+008, 1023, 256, Complete
NVS 5400M, 18900000, 0.00632256, 0.0622561, 0.0685787, 2.9893e+009, 2.75596e+008, 1023, 128, Complete
NVS 5400M, 18900000, 0.0112136, 0.0617124, 0.0729259, 1.68546e+009, 2.59167e+008, 1023, 64, Complete
NVS 5400M, 18900000, 0.0219388, 0.0640306, 0.0859694, 8.61489e+008, 2.19846e+008, 1023, 32, Complete
NVS 5400M, 18900000, 0.04287, 0.0639046, 0.106775, 4.40867e+008, 1.77008e+008, 1023, 16, Complete
NVS 5400M, 18900000, 0.0849677, 0.0619963, 0.146964, 2.22438e+008, 1.28603e+008, 1023, 8, Complete
NVS 5400M, 18900000, 0.168296, 0.06192, 0.230216, 1.12302e+008, 8.20967e+007, 1023, 4, Complete
