# linear_velocity_0_1data
# time	v-estimate	
    0	  -9.44845e-69	
    1	     0.0407409	
    2	     0.0895209	
    3	       0.13843	
    4	      0.184149	
    5	      0.224774	
    6	      0.259238	
    7	      0.287181	
    8	      0.308662	
    9	      0.324031	
   10	      0.333826	
   11	      0.338687	
   12	      0.339294	
   13	      0.336274	
   14	      0.330281	
   15	      0.321952	
   16	      0.311804	
   17	      0.300288	
   18	      0.287792	
   19	      0.274642	
   20	       0.26111	
   21	      0.247419	
   22	      0.224648	
   23	      0.204296	
   24	      0.186073	
   25	      0.169725	
   26	      0.155032	
   27	      0.141803	
   28	      0.129871	
   29	       0.11909	
   30	      0.109335	
   31	      0.100453	
   32	     0.0923147	
   33	      0.084922	
   34	     0.0781977	
   35	     0.0720734	
   36	     0.0664887	
   37	     0.0613899	
   38	     0.0567294	
   39	     0.0524651	
   40	     0.0485696	
   41	     0.0450315	
   42	     0.0417818	
   43	     0.0387941	
   44	     0.0360451	
   45	     0.0335133	
   46	     0.0311799	
   47	     0.0290276	
   48	     0.0270408	
   49	     0.0252112	
   50	     0.0235226	
   51	       0.02196	
   52	     0.0205129	
   53	      0.019172	
   54	     0.0179285	
   55	     0.0167746	
   56	     0.0157033	
   57	     0.0147081	
   58	     0.0137856	
   59	     0.0129287	
   60	      0.012131	
   61	     0.0113878	
   62	      0.010695	
   63	     0.0100488	
   64	    0.00944586	
   65	    0.00887549	
   66	    0.00833729	
   67	    0.00783484	
   68	    0.00736595	
   69	    0.00692813	
   70	    0.00651911	
   71	    0.00613677	
   72	    0.00577917	
   73	    0.00544451	
   74	    0.00516718	
   75	    0.00492668	
   76	    0.00470511	
   77	    0.00449251	
   78	    0.00428861	
   79	    0.00409315	
   80	    0.00390585	
   81	    0.00372645	
   82	    0.00355469	
   83	    0.00338243	
   84	    0.00321477	
   85	    0.00305241	
   86	    0.00289845	
   87	    0.00275245	
   88	    0.00261397	
   89	    0.00248261	
   90	      0.002358	
   91	    0.00223977	
   92	    0.00212919	
   93	    0.00202453	
   94	    0.00192591	
   95	    0.00183205	
   96	    0.00174274	
   97	    0.00165776	
   98	    0.00157689	
   99	    0.00149994	
  100	    0.00142673	
  101	    0.00134295	
  102	     0.0012524	
  103	    0.00116863	
  104	    0.00109108	
  105	    0.00101926	
  106	   0.000952688	
  107	   0.000890954	
  108	   0.000833667	
  109	   0.000780476	
  110	   0.000830104	
  111	   0.000964759	
  112	    0.00107612	
  113	    0.00116693	
  114	    0.00123962	
  115	    0.00129638	
  116	    0.00133918	
  117	    0.00136977	
  118	     0.0013897	
  119	    0.00161445	
  120	    0.00210032	
  121	    0.00250867	
  122	    0.00284841	
  123	    0.00312752	
  124	    0.00335315	
  125	     0.0035317	
  126	     0.0036689	
  127	    0.00376988	
  128	    0.00447645	
  129	    0.00637819	
  130	    0.00798511	
  131	     0.0093308	
  132	     0.0104454	
  133	      0.011356	
  134	     0.0120867	
  135	     0.0126591	
  136	     0.0130928	
  137	     0.0134848	
  138	     0.0140199	
  139	     0.0144149	
  140	     0.0146878	
  141	     0.0148541	
  142	     0.0149279	
  143	     0.0149219	
  144	     0.0148472	
  145	     0.0147137	
  146	     0.0147542	
  147	     0.0160615	
  148	     0.0171117	
  149	     0.0179357	
  150	     0.0185613	
  151	     0.0190132	
  152	     0.0193134	
  153	     0.0194817	
  154	     0.0195358	
  155	     0.0197225	
  156	     0.0199903	
  157	     0.0201275	
  158	     0.0201518	
  159	     0.0200788	
  160	     0.0199223	
  161	     0.0196948	
  162	     0.0194072	
  163	     0.0204116	
  164	     0.0212371	
  165	     0.0218485	
  166	     0.0222729	
  167	     0.0225343	
  168	     0.0226542	
  169	     0.0226518	
  170	     0.0225441	
  171	     0.0223464	
  172	     0.0225327	
  173	     0.0226547	
  174	     0.0226541	
  175	      0.022548	
  176	     0.0223515	
  177	     0.0220783	
  178	     0.0217402	
  179	     0.0213479	
  180	     0.0209108	
  181	     0.0215991	
  182	     0.0224015	
  183	     0.0229876	
  184	     0.0233849	
  185	     0.0236178	
  186	     0.0237081	
  187	     0.0236754	
  188	     0.0235368	
  189	     0.0233079	
  190	     0.0222901	
  191	     0.0214172	
  192	     0.0206063	
  193	     0.0198491	
  194	     0.0191385	
  195	     0.0184686	
  196	     0.0178343	
  197	     0.0172314	
  198	     0.0166562	
  199	      0.016801	
  200	      0.017333	
  201	     0.0177442	
  202	      0.018047	
  203	     0.0182527	
  204	     0.0183721	
  205	     0.0184148	
  206	     0.0183899	
  207	     0.0183055	
  208	     0.0201314	
  209	     0.0215155	
  210	     0.0225037	
  211	     0.0231694	
  212	      0.023572	
  213	     0.0237598	
  214	     0.0237725	
  215	     0.0236424	
  216	     0.0233966	
  217	     0.0241236	
  218	     0.0246887	
  219	     0.0250414	
  220	     0.0252137	
  221	     0.0252331	
  222	     0.0251232	
  223	     0.0249045	
  224	     0.0245948	
  225	     0.0242094	
  226	     0.0242611	
  227	     0.0241893	
  228	     0.0240123	
  229	     0.0237462	
  230	     0.0234051	
  231	     0.0230014	
  232	     0.0225461	
  233	     0.0220486	
  234	     0.0215173	
  235	     0.0225558	
  236	      0.023452	
  237	     0.0241139	
  238	     0.0245711	
  239	     0.0248501	
  240	     0.0249745	
  241	     0.0249653	
  242	     0.0248411	
  243	     0.0246187	
  244	     0.0306762	
  245	     0.0342551	
  246	     0.0361907	
  247	      0.037058	
  248	     0.0372061	
  249	     0.0368584	
  250	     0.0361638	
  251	     0.0352252	
  252	     0.0341161	
  253	     0.0372133	
  254	     0.0393977	
  255	       0.04083	
