%time,field.O_x,field.O_y,field.O_t,field.I_t,field.Co_I_t,field.G_x,field.G_y,field.Co_gps_x,field.Co_gps_y
56,1.30766,-0.45244,0.475461,0.27013,0.001225,1.27907,-0.527609,0.0004,0.0004
57,1.30766,-0.45244,0.475461,0.269947,0.001225,1.27907,-0.527609,0.0004,0.0004
58,1.30766,-0.45244,0.475461,0.270094,0.001225,1.27907,-0.527609,0.0004,0.0004
59,1.30766,-0.45244,0.475461,0.270042,0.001225,1.27998,-0.529115,0.0004,0.0004
60,1.30766,-0.45244,0.475461,0.26997,0.001225,1.28049,-0.52997,0.0004,0.0004
61,1.30766,-0.45244,0.475461,0.269884,0.001225,1.28049,-0.52997,0.0004,0.0004
62,1.30766,-0.45244,0.475461,0.269701,0.001225,1.28049,-0.52997,0.0004,0.0004
63,1.30766,-0.45244,0.475461,0.269293,0.001225,1.28049,-0.52997,0.0004,0.0004
64,1.30766,-0.45244,0.475461,0.269326,0.001225,1.28049,-0.52997,0.0004,0.0004
65,1.30766,-0.45244,0.475461,0.268677,0.001225,1.28049,-0.52997,0.0004,0.0004
66,1.30766,-0.45244,0.475461,0.268208,0.001225,1.28043,-0.531016,0.0004,0.0004
67,1.30766,-0.45244,0.475461,0.268137,0.001225,1.28037,-0.531838,0.0004,0.0004
68,1.30766,-0.45244,0.475461,0.267833,0.001225,1.28037,-0.531907,0.0004,0.0004
69,1.30766,-0.45244,0.475461,0.267606,0.001225,1.28037,-0.531907,0.0004,0.0004
70,1.30766,-0.45244,0.475461,0.267489,0.001225,1.28037,-0.531907,0.0004,0.0004
71,1.30766,-0.45244,0.475461,0.267527,0.001225,1.28037,-0.531907,0.0004,0.0004
72,1.30766,-0.45244,0.475461,0.267844,0.001225,1.28037,-0.531907,0.0004,0.0004
73,1.30766,-0.45244,0.475461,0.267867,0.001225,1.28037,-0.531907,0.0004,0.0004
74,1.30766,-0.45244,0.475461,0.267856,0.001225,1.28037,-0.531907,0.0004,0.0004
75,1.30766,-0.45244,0.475461,0.267701,0.001225,1.28178,-0.529154,0.0004,0.0004
76,1.30766,-0.45244,0.475461,0.267558,0.001225,1.28265,-0.527453,0.0004,0.0004
77,1.30766,-0.45244,0.475461,0.267611,0.001225,1.28298,-0.526819,0.0004,0.0004
78,1.30766,-0.45244,0.475461,0.26763,0.001225,1.28298,-0.526819,0.0004,0.0004
79,1.30766,-0.45244,0.475461,0.267867,0.001225,1.28298,-0.526819,0.0004,0.0004
80,1.30766,-0.45244,0.475461,0.267837,0.001225,1.28298,-0.526819,0.0004,0.0004
81,1.30766,-0.45244,0.475461,0.26758,0.001225,1.28298,-0.526819,0.0004,0.0004
82,1.30766,-0.45244,0.475461,0.267648,0.001225,1.28298,-0.526819,0.0004,0.0004
83,1.30766,-0.45244,0.475461,0.267454,0.001225,1.28298,-0.526819,0.0004,0.0004
84,1.30766,-0.45244,0.475461,0.267407,0.001225,1.28181,-0.525591,0.0004,0.0004
85,1.30766,-0.45244,0.475461,0.267477,0.001225,1.28127,-0.525026,0.0004,0.0004
86,1.30766,-0.45244,0.475461,0.267321,0.001225,1.28081,-0.524543,0.0004,0.0004
87,1.30766,-0.45244,0.475461,0.267302,0.001225,1.28081,-0.524543,0.0004,0.0004
88,1.30766,-0.45244,0.475461,0.267294,0.001225,1.28081,-0.524543,0.0004,0.0004
89,1.30766,-0.45244,0.475461,0.267206,0.001225,1.28081,-0.524543,0.0004,0.0004
90,1.30766,-0.45244,0.475461,0.267077,0.001225,1.28081,-0.524543,0.0004,0.0004
91,1.30766,-0.45244,0.475461,0.267192,0.001225,1.28081,-0.524543,0.0004,0.0004
92,1.30766,-0.45244,0.475461,0.267389,0.001225,1.28081,-0.524543,0.0004,0.0004
93,1.30766,-0.45244,0.475461,0.26754,0.001225,1.28078,-0.524222,0.0004,0.0004
94,1.30766,-0.45244,0.475461,0.267554,0.001225,1.28077,-0.524133,0.0004,0.0004
95,1.30766,-0.45244,0.475461,0.26748,0.001225,1.28075,-0.523947,0.0004,0.0004
96,1.30766,-0.45244,0.475461,0.267447,0.001225,1.28075,-0.523947,0.0004,0.0004
97,1.30766,-0.45244,0.475461,0.267448,0.001225,1.28075,-0.523947,0.0004,0.0004
98,1.30766,-0.45244,0.475461,0.267406,0.001225,1.28075,-0.523947,0.0004,0.0004
99,1.30766,-0.45244,0.475461,0.267574,0.001225,1.28075,-0.523947,0.0004,0.0004
100,1.30766,-0.45244,0.475461,0.267765,0.001225,1.28075,-0.523947,0.0004,0.0004
101,1.30766,-0.45244,0.475461,0.268033,0.001225,1.28075,-0.523947,0.0004,0.0004
102,1.30859,-0.45231,0.475461,0.268454,0.001225,1.27881,-0.522081,0.0004,0.0004
103,1.30941,-0.451781,0.47483,0.268708,0.001225,1.27714,-0.52048,0.0004,0.0004
104,1.31049,-0.451037,0.473927,0.269073,0.001225,1.27714,-0.52048,0.0004,0.0004
105,1.31171,-0.450434,0.473927,0.269391,0.001225,1.27714,-0.52048,0.0004,0.0004
106,1.31333,-0.449633,0.473927,0.269272,0.001225,1.27714,-0.52048,0.0004,0.0004
107,1.31628,-0.448326,0.473927,0.269298,0.001225,1.27714,-0.52048,0.0004,0.0004
108,1.31998,-0.44669,0.473927,0.269892,0.001225,1.27714,-0.52048,0.0004,0.0004
109,1.32385,-0.444284,0.473927,0.270283,0.001225,1.27714,-0.52048,0.0004,0.0004
110,1.32835,-0.44149,0.473927,0.270851,0.001225,1.27714,-0.52048,0.0004,0.0004
111,1.34068,-0.43574,0.472393,0.270786,0.001225,1.28486,-0.521028,0.0004,0.0004
112,1.3478,-0.43222,0.473164,0.270261,0.001225,1.29233,-0.521558,0.0004,0.0004
113,1.35485,-0.428724,0.473927,0.270292,0.001225,1.29233,-0.521558,0.0004,0.0004
114,1.36075,-0.425796,0.473128,0.270356,0.001225,1.29233,-0.521558,0.0004,0.0004
115,1.36618,-0.423112,0.472393,0.270291,0.001225,1.29233,-0.521558,0.0004,0.0004
